process_seed,quality_seed,model,representation,quality_estimator,parameter_count,quality_best_epoch,n_train_labels,n_val_labels,n_test_labels,val_obs_mae,val_true_mae_diagnostic,test_obs_mae,test_true_mae_diagnostic,dyn_val_mse,persistence_val_mse,dyn_best_epoch,quality_training_seconds
42,100042,direct_mlp,direct,mlp,10301,11,50,66,67,0.6663985848426819,0.2696898579597473,0.7033867835998535,0.2318500131368637,0.19372600011336497,0.21397442064988306,19,0.44605417500002886
42,100042,direct_gru,direct,gru,10465,35,50,66,67,0.6592220067977905,0.3208226263523102,0.66960608959198,0.31521719694137573,0.19372600011336497,0.21397442064988306,19,0.5502867729999821
42,100042,latent_mlp,latent,mlp,11221,4,50,66,67,0.6691378951072693,0.23045776784420013,0.6639429330825806,0.17440761625766754,0.19372600011336497,0.21397442064988306,19,0.39305564999995113
42,100042,latent_gru,latent,gru,11041,12,50,66,67,0.6300920248031616,0.22588637471199036,0.6874674558639526,0.25671717524528503,0.19372600011336497,0.21397442064988306,19,0.2820901580000168
43,100043,direct_mlp,direct,mlp,10301,1,50,66,67,0.6725906729698181,0.1836472749710083,0.6086804866790771,0.16908389329910278,0.2142441857319612,0.2396375896074833,15,0.34100510999996914
43,100043,direct_gru,direct,gru,10465,1,50,66,67,0.7847675085067749,0.4476504325866699,0.6382219791412354,0.3440295457839966,0.2142441857319612,0.2396375896074833,15,0.17004745100001628
43,100043,latent_mlp,latent,mlp,11221,3,50,66,67,0.6970900297164917,0.19163525104522705,0.6417095065116882,0.24709945917129517,0.2142441857319612,0.2396375896074833,15,0.39374410200002785
43,100043,latent_gru,latent,gru,11041,1,50,66,67,0.7079470157623291,0.21206942200660706,0.6109604239463806,0.18688111007213593,0.2142441857319612,0.2396375896074833,15,0.1692913069999804
44,100044,direct_mlp,direct,mlp,10301,10,50,66,67,0.6617283821105957,0.2080894261598587,0.6701446175575256,0.1760275512933731,0.19763786766009453,0.21940138382025254,16,0.6530873440000278
44,100044,direct_gru,direct,gru,10465,19,50,66,67,0.6428077220916748,0.3048592805862427,0.7093435525894165,0.30984508991241455,0.19763786766009453,0.21940138382025254,16,0.47352760399996896
44,100044,latent_mlp,latent,mlp,11221,9,50,66,67,0.6845646500587463,0.21801213920116425,0.7050637602806091,0.20135122537612915,0.19763786766009453,0.21940138382025254,16,0.4786814269999695
44,100044,latent_gru,latent,gru,11041,19,50,66,67,0.6472851037979126,0.2473987191915512,0.6978431940078735,0.20504748821258545,0.19763786766009453,0.21940138382025254,16,0.39128895199996805
45,100045,direct_mlp,direct,mlp,10301,3,50,66,67,0.6705350279808044,0.38327062129974365,0.6786944270133972,0.22616702318191528,0.18879857229498717,0.21876565061318567,19,0.5440424829999984
45,100045,direct_gru,direct,gru,10465,1,50,66,67,0.7385616898536682,0.5011519193649292,0.7019271850585938,0.2781200110912323,0.18879857229498717,0.21876565061318567,19,0.22515079300001162
45,100045,latent_mlp,latent,mlp,11221,10,50,66,67,0.6538699865341187,0.4043017327785492,0.7882447838783264,0.43816670775413513,0.18879857229498717,0.21876565061318567,19,0.6714375160000827
45,100045,latent_gru,latent,gru,11041,7,50,66,67,0.6754343509674072,0.3589130640029907,0.695632815361023,0.2207474261522293,0.18879857229498717,0.21876565061318567,19,0.31380179000007047
46,100046,direct_mlp,direct,mlp,10301,9,50,66,67,0.6434508562088013,0.2453683763742447,0.618474006652832,0.26958683133125305,0.17304123976291755,0.19969104287716058,18,0.422331222999901
46,100046,direct_gru,direct,gru,10465,9,50,66,67,0.6852894425392151,0.1688479781150818,0.5764038562774658,0.19732563197612762,0.17304123976291755,0.19969104287716058,18,0.2752001000000064
46,100046,latent_mlp,latent,mlp,11221,7,50,66,67,0.6210874915122986,0.3106621205806732,0.612043023109436,0.2221260666847229,0.17304123976291755,0.19969104287716058,18,0.4444761089999929
46,100046,latent_gru,latent,gru,11041,10,50,66,67,0.6637187004089355,0.16412387788295746,0.6001166701316833,0.17647165060043335,0.17304123976291755,0.19969104287716058,18,0.30750256299995726
