seed,disturbance_shape,disturbance_strength,method,event_index,tau,arrival,delay,quality_interval,residual_observed,residual_scaled,confidence,correction_norm,future_lab_obs_abs_error,future_lab_true_abs_error_diagnostic,dense_true_mae_h20,dense_true_mae_h40,dense_true_mae_h50
42,none,0.0,no_resync,47,7200,7240,40,150,1.1279926300048828,1.4964239213684951,0.9429574608802795,0.0,1.08298921585083,1.0732269287109375,1.0758846759796143,1.0818512797355653,1.086933078765869
42,none,0.0,output_bias_persistent,47,7200,7240,40,150,1.1279926300048828,1.4964239213684951,0.9429574608802795,1.4964239213684951,0.045003414154052734,0.05476570129394531,0.052335166931152345,0.046747004985809325,0.042292270660400394
42,none,0.0,output_bias_decay,47,7200,7240,40,150,1.1279926300048828,1.4964239213684951,0.9429574608802795,1.4964239213684951,0.5412083760692603,0.5314460889293677,0.04250857830047607,0.10459861755371094,0.13852907180786134
42,none,0.0,current_reencode,47,7200,7240,40,150,1.1279926300048828,1.4964239213684951,0.9429574608802795,0.5273116230964661,1.0829863548278809,1.0732240676879883,1.0694019794464111,1.0765869140625,1.082244691848755
42,none,0.0,online_head_update,47,7200,7240,40,150,1.1279926300048828,1.4964239213684951,0.9429574608802795,0.0,0.6301350593566895,0.6203727722167969,0.6291061639785767,0.636048948764801,0.6419894409179687
42,none,0.0,past_state_jacobian,47,7200,7240,40,150,1.1279926300048828,1.4964239213684951,0.9429574608802795,2.5,1.2050485610961914,1.1952862739562988,1.111319375038147,1.1322963118553162,1.145280694961548
42,none,0.0,oracle_resync,47,7200,7240,40,150,1.1279926300048828,1.4964239213684951,0.9429574608802795,1.880287766456604,1.114163875579834,1.1044015884399414,1.068574595451355,1.0717891931533814,1.0770782470703124
42,none,0.0,no_resync,48,7350,7390,40,150,1.08298921585083,1.4367212391948656,0.7948610186576843,0.0,1.2231059074401855,1.1206393241882324,1.0328862905502318,1.0368461847305297,1.0421400737762452
42,none,0.0,output_bias_persistent,48,7350,7390,40,150,1.08298921585083,1.4367212391948656,0.7948610186576843,1.4367212391948656,0.14011669158935547,0.037650108337402344,0.05010292530059814,0.04630932807922363,0.04157153129577637
42,none,0.0,output_bias_decay,48,7350,7390,40,150,1.08298921585083,1.4367212391948656,0.7948610186576843,1.4367212391948656,0.7029404460439466,0.6004738627919934,0.03886003494262695,0.09764353036880494,0.13082296371459962
42,none,0.0,current_reencode,48,7350,7390,40,150,1.08298921585083,1.4367212391948656,0.7948610186576843,0.8297223448753357,1.213831901550293,1.1113653182983398,1.0267009496688844,1.0304942011833191,1.0363068389892578
42,none,0.0,online_head_update,48,7350,7390,40,150,1.08298921585083,1.4367212391948656,0.7948610186576843,0.0,0.7784409523010254,0.6759743690490723,0.5462418556213379,0.5517699122428894,0.5574945163726807
42,none,0.0,past_state_jacobian,48,7350,7390,40,150,1.08298921585083,1.4367212391948656,0.7948610186576843,2.5,1.1998825073242188,1.0974159240722656,1.1533430337905883,1.168520700931549,1.1867813777923584
