disturbance_shape,method,count,future_lab_obs_abs_error_mean,future_lab_obs_abs_error_std,future_lab_true_abs_error_diagnostic_mean,future_lab_true_abs_error_diagnostic_std,dense_true_mae_h20_mean,dense_true_mae_h20_std,dense_true_mae_h40_mean,dense_true_mae_h40_std,dense_true_mae_h50_mean,dense_true_mae_h50_std
ramp,output_bias_decay,60,0.5987885213776329,0.19011063044307216,0.5807560431566234,0.13138534723184297,0.14774467349052428,0.14281623213284275,0.18892712573210402,0.1377558816160781,0.21192063601811725,0.1364946427807902
ramp,output_bias_persistent,60,0.1932625943964178,0.21275220899438815,0.12425461682406339,0.14883229758874542,0.12974288185437519,0.1476877043949541,0.12933315336704254,0.1455701294065297,0.12975639661153154,0.14526503309263397
ramp,past_state_jacobian,60,0.9728750749067827,0.3499583183273966,0.9759909022938121,0.3042762911914101,0.9554485519727073,0.3590801165130339,0.9585539269447327,0.3579244250220132,0.9602866325378419,0.3561782929007963
random_walk,current_reencode,60,0.9594770604913885,0.2526710989610818,0.9601873744617809,0.15978004243126642,0.9658260214328765,0.1459052543059632,0.9657459608713787,0.1471761886567534,0.9647034085591634,0.14693205832727768
random_walk,no_resync,60,0.9623306447809393,0.24627585051094483,0.9627232291481712,0.15399084704160543,0.9684919226169586,0.14221733948326484,0.9685586327314378,0.14307529884791514,0.9678515429496763,0.14251731261315637
random_walk,online_head_update,60,0.5525047388943759,0.22805565663010174,0.5320166067643599,0.1934133648577599,0.5307865691184996,0.18581721211668134,0.5306918398539225,0.187066985214237,0.5298256114323935,0.18782817134722476
random_walk,oracle_resync,60,0.8218176928433505,0.3441493834425552,0.8209794651378285,0.3082470262663867,0.8181501233577728,0.3035670290903792,0.8187162357568739,0.30358345348582944,0.8194146817525229,0.3030356715408229
random_walk,output_bias_decay,60,0.5306255815766056,0.18159568891183164,0.5103478587755128,0.11580295828742497,0.1401262402534485,0.14181732340794959,0.17274343450864155,0.1346787784838469,0.19148994890848797,0.13263525940325915
random_walk,output_bias_persistent,60,0.19337635907259854,0.21309091805094393,0.11929318688132547,0.1504500542733884,0.12884449044863383,0.14748557700205886,0.12798300365606943,0.1456623127976278,0.12819666210810346,0.14537599850855415
random_walk,past_state_jacobian,60,0.8769874312660911,0.3057213387701868,0.8771749756552957,0.2623964714284088,0.8521208624045056,0.32329032865941376,0.8546883545319237,0.32137009661241556,0.8560284004211428,0.31914088049008127
step,current_reencode,60,1.1447382580150258,0.292428158997467,1.1480853427540172,0.20296706477113421,1.146968258221944,0.19934564145469175,1.1485273973147072,0.20045049973288642,1.1483128139177958,0.1998443238802591
step,no_resync,60,1.145948973569003,0.28808558903293807,1.1492960583079945,0.19954821680308338,1.1481214690208437,0.19881615491477508,1.1497719371318815,0.19917234165434555,1.1498540693918862,0.1982229767265278
step,online_head_update,60,0.6962929552251642,0.2666779485283833,0.6818222479386763,0.2360759006624715,0.673463483651479,0.23051451841400317,0.6751088478167852,0.23120489058242372,0.6750181140899658,0.2316667912752191
step,oracle_resync,60,0.9914483590559526,0.3880529642546615,0.9947954437949441,0.3460157315819602,0.9858673246701558,0.34403058588248897,0.9885836013158162,0.344310274929392,0.9900180735588074,0.34391101195542967
step,output_bias_decay,60,0.6360188641354613,0.18908478132696893,0.6195182330281594,0.12875723710091816,0.15142605900764466,0.1424779370550374,0.19720134158929187,0.13766973294582394,0.2223784155845642,0.13644880174776947
step,output_bias_persistent,60,0.19261724298650568,0.21471523869863585,0.12589113062078303,0.14880636323738494,0.12890607436498006,0.14795346572386078,0.12854227185249326,0.14575879873170514,0.12915807882944744,0.14538151787572526
step,past_state_jacobian,60,1.032570084658536,0.3646854350601324,1.0359171693975275,0.3206372937723758,1.0166137075424195,0.3705549787273023,1.0196128273010254,0.36968076900709074,1.0213626492818197,0.3680987692836631
