seed,dt_val_loss,persistence_val_loss,dt_best_epoch,quality_val_loss,quality_best_epoch,dt_parameter_count,quality_parameter_count,n_train_labels,n_val_labels,n_test_labels
42,0.12382082853998456,0.253982204411711,48,0.7864078283309937,55,19557,337,35,12,12
43,0.12104263050215584,0.24635038524866104,46,0.3529360294342041,1,19557,337,35,12,12
44,0.12258544989994594,0.24626748796020234,59,0.39933356642723083,80,19557,337,35,12,12
45,0.11845222647700991,0.24175011260168894,45,0.3246896266937256,80,19557,337,35,12,12
46,0.12046886288693973,0.24718138043369567,48,0.39210256934165955,12,19557,337,35,12,12
