seed,quality_train_seed,drift_mode,disturbance_target,disturbance_regime,z_dim,label_count_requested,n_train_labels,n_val_labels,n_test_labels,model,parameter_count,test_true_mae,test_obs_mae,dyn_val_mse,persistence_val_mse,dyn_best_epoch,drift_std_active,q_effect_mae_test
42,100042,ar,output,persistent,8,50,50,66,67,train_mean,0,0.255626380443573,0.6459299325942993,0.19372600011336497,0.21397442064988306,19,0.1189952865242958,0.10359048843383789
42,100042,ar,output,persistent,8,50,50,66,67,direct,10465,0.31521719694137573,0.66960608959198,0.19372600011336497,0.21397442064988306,19,0.1189952865242958,0.10359048843383789
42,100042,ar,output,persistent,8,50,50,66,67,latent,11041,0.25671717524528503,0.6874674558639526,0.19372600011336497,0.21397442064988306,19,0.1189952865242958,0.10359048843383789
42,100042,ar,output,persistent,8,50,50,66,67,fusion,11617,0.1891365647315979,0.6641876697540283,0.19372600011336497,0.21397442064988306,19,0.1189952865242958,0.10359048843383789
42,100042,ar,output,persistent,8,100,100,66,67,train_mean,0,0.25272005796432495,0.6469150185585022,0.19372600011336497,0.21397442064988306,19,0.1189952865242958,0.10359048843383789
42,100042,ar,output,persistent,8,100,100,66,67,direct,10465,0.24458609521389008,0.6840659976005554,0.19372600011336497,0.21397442064988306,19,0.1189952865242958,0.10359048843383789
42,100042,ar,output,persistent,8,100,100,66,67,latent,11041,0.20882734656333923,0.6645346283912659,0.19372600011336497,0.21397442064988306,19,0.1189952865242958,0.10359048843383789
42,100042,ar,output,persistent,8,100,100,66,67,fusion,11617,0.17491959035396576,0.6547238826751709,0.19372600011336497,0.21397442064988306,19,0.1189952865242958,0.10359048843383789
42,100042,ar,output,persistent,8,200,199,66,67,train_mean,0,0.2711452543735504,0.6448345184326172,0.19372600011336497,0.21397442064988306,19,0.1189952865242958,0.10359048843383789
42,100042,ar,output,persistent,8,200,199,66,67,direct,10465,0.20159046351909637,0.6833159923553467,0.19372600011336497,0.21397442064988306,19,0.1189952865242958,0.10359048843383789
42,100042,ar,output,persistent,8,200,199,66,67,latent,11041,0.20792081952095032,0.6808350086212158,0.19372600011336497,0.21397442064988306,19,0.1189952865242958,0.10359048843383789
42,100042,ar,output,persistent,8,200,199,66,67,fusion,11617,0.19650177657604218,0.6632443070411682,0.19372600011336497,0.21397442064988306,19,0.1189952865242958,0.10359048843383789
43,100043,ar,output,persistent,8,50,50,66,67,train_mean,0,0.2001112699508667,0.6106191873550415,0.2142441857319612,0.2396375896074833,15,0.12132924795150757,0.09736695885658264
43,100043,ar,output,persistent,8,50,50,66,67,direct,10465,0.3440295457839966,0.6382219791412354,0.2142441857319612,0.2396375896074833,15,0.12132924795150757,0.09736695885658264
43,100043,ar,output,persistent,8,50,50,66,67,latent,11041,0.18688111007213593,0.6109604239463806,0.2142441857319612,0.2396375896074833,15,0.12132924795150757,0.09736695885658264
43,100043,ar,output,persistent,8,50,50,66,67,fusion,11617,0.24448531866073608,0.6191348433494568,0.2142441857319612,0.2396375896074833,15,0.12132924795150757,0.09736695885658264
43,100043,ar,output,persistent,8,100,100,66,67,train_mean,0,0.2526210844516754,0.6102449893951416,0.2142441857319612,0.2396375896074833,15,0.12132924795150757,0.09736695885658264
43,100043,ar,output,persistent,8,100,100,66,67,direct,10465,0.18942466378211975,0.5785034894943237,0.2142441857319612,0.2396375896074833,15,0.12132924795150757,0.09736695885658264
43,100043,ar,output,persistent,8,100,100,66,67,latent,11041,0.22467269003391266,0.5681790113449097,0.2142441857319612,0.2396375896074833,15,0.12132924795150757,0.09736695885658264
43,100043,ar,output,persistent,8,100,100,66,67,fusion,11617,0.2676534950733185,0.5833961367607117,0.2142441857319612,0.2396375896074833,15,0.12132924795150757,0.09736695885658264
43,100043,ar,output,persistent,8,200,199,66,67,train_mean,0,0.26925283670425415,0.6107645630836487,0.2142441857319612,0.2396375896074833,15,0.12132924795150757,0.09736695885658264
43,100043,ar,output,persistent,8,200,199,66,67,direct,10465,0.16791340708732605,0.5953934192657471,0.2142441857319612,0.2396375896074833,15,0.12132924795150757,0.09736695885658264
43,100043,ar,output,persistent,8,200,199,66,67,latent,11041,0.1750447303056717,0.5944300293922424,0.2142441857319612,0.2396375896074833,15,0.12132924795150757,0.09736695885658264
43,100043,ar,output,persistent,8,200,199,66,67,fusion,11617,0.15547259151935577,0.5848398804664612,0.2142441857319612,0.2396375896074833,15,0.12132924795150757,0.09736695885658264
44,100044,ar,output,persistent,8,50,50,66,67,train_mean,0,0.23610003292560577,0.710677444934845,0.19763786766009453,0.21940138382025254,16,0.12618552148342133,0.10841145366430283
44,100044,ar,output,persistent,8,50,50,66,67,direct,10465,0.30984508991241455,0.7093435525894165,0.19763786766009453,0.21940138382025254,16,0.12618552148342133,0.10841145366430283
44,100044,ar,output,persistent,8,50,50,66,67,latent,11041,0.20504748821258545,0.6978431940078735,0.19763786766009453,0.21940138382025254,16,0.12618552148342133,0.10841145366430283
44,100044,ar,output,persistent,8,50,50,66,67,fusion,11617,0.17214727401733398,0.6782729625701904,0.19763786766009453,0.21940138382025254,16,0.12618552148342133,0.10841145366430283
44,100044,ar,output,persistent,8,100,100,66,67,train_mean,0,0.23861488699913025,0.7114678025245667,0.19763786766009453,0.21940138382025254,16,0.12618552148342133,0.10841145366430283
44,100044,ar,output,persistent,8,100,100,66,67,direct,10465,0.1809849590063095,0.7100289463996887,0.19763786766009453,0.21940138382025254,16,0.12618552148342133,0.10841145366430283
44,100044,ar,output,persistent,8,100,100,66,67,latent,11041,0.19580078125,0.7200008630752563,0.19763786766009453,0.21940138382025254,16,0.12618552148342133,0.10841145366430283
44,100044,ar,output,persistent,8,100,100,66,67,fusion,11617,0.17551353573799133,0.7108545899391174,0.19763786766009453,0.21940138382025254,16,0.12618552148342133,0.10841145366430283
44,100044,ar,output,persistent,8,200,199,66,67,train_mean,0,0.22803372144699097,0.7076248526573181,0.19763786766009453,0.21940138382025254,16,0.12618552148342133,0.10841145366430283
44,100044,ar,output,persistent,8,200,199,66,67,direct,10465,0.1567135751247406,0.6788204908370972,0.19763786766009453,0.21940138382025254,16,0.12618552148342133,0.10841145366430283
